               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  56,              2.5711,              4.1073,              3.4978,            0.054422,            0.029544,           0.0041114,           0.0010573,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  57,              2.5333,              4.0729,              3.4445,             0.49897,           0.0078331,           0.0042384,           0.0011086,                   0,                   0,                   0,            0.008992,            0.008992,            0.008992
                  58,              2.5219,              4.1084,              3.4237,             0.51401,           0.0089286,           0.0053079,           0.0011804,                   0,                   0,                   0,            0.008974,            0.008974,            0.008974
                  59,              2.4798,              4.0646,              3.3926,           0.0022953,            0.043267,           0.0053667,           0.0011146,                   0,                   0,                   0,            0.008956,            0.008956,            0.008956
                  60,              2.4589,              4.0212,              3.3314,             0.10281,            0.012107,           0.0027989,          0.00052667,                   0,                   0,                   0,            0.008938,            0.008938,            0.008938
                  61,              2.3177,              3.9045,              3.2259,            0.001486,             0.03883,           0.0023567,          0.00046726,                   0,                   0,                   0,             0.00892,             0.00892,             0.00892
                  62,              2.2136,              3.6317,              3.1703,             0.36435,           0.0072639,           0.0038379,          0.00082835,                   0,                   0,                   0,            0.008902,            0.008902,            0.008902
                  63,              2.2712,              3.7069,               3.178,           0.0016466,            0.044189,           0.0025713,          0.00045933,                   0,                   0,                   0,            0.008884,            0.008884,            0.008884
                  64,              2.1816,              3.4541,              3.0353,           0.0012037,            0.031058,           0.0018921,          0.00034845,                   0,                   0,                   0,            0.008866,            0.008866,            0.008866
                  65,              2.1877,               3.465,              3.0537,          0.00087841,            0.035361,           0.0025108,          0.00061348,                   0,                   0,                   0,            0.008848,            0.008848,            0.008848
                  66,              2.1667,              3.3953,              3.0221,           0.0049619,            0.049912,           0.0046836,           0.0014623,                   0,                   0,                   0,             0.00883,             0.00883,             0.00883
                  67,              2.0774,              3.2954,              2.9301,           0.0013764,            0.043194,           0.0020744,           0.0005293,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  68,              2.0177,              3.2089,              2.8827,           0.0053138,            0.044643,           0.0052139,           0.0010114,                   0,                   0,                   0,            0.008794,            0.008794,            0.008794
                  69,              1.9167,              2.9366,              2.7431,           0.0012851,            0.034879,            0.001455,          0.00045883,                   0,                   0,                   0,            0.008776,            0.008776,            0.008776
                  70,              1.8939,              2.9732,              2.7413,          0.00088494,            0.031865,           0.0011867,          0.00039339,                   0,                   0,                   0,            0.008758,            0.008758,            0.008758
                  71,              1.8817,              2.9055,              2.6946,           0.0019681,            0.035446,            0.004016,           0.0012825,                   0,                   0,                   0,             0.00874,             0.00874,             0.00874
                  72,              1.7963,              2.7967,              2.6131,           0.0024657,            0.054225,           0.0066146,           0.0014713,                   0,                   0,                   0,            0.008722,            0.008722,            0.008722
                  73,              1.8175,              2.8601,               2.655,             0.53344,           0.0092312,           0.0068153,          0.00095995,                   0,                   0,                   0,            0.008704,            0.008704,            0.008704
                  74,               1.706,              2.7053,              2.5273,           0.0017655,            0.028297,           0.0016599,          0.00048024,                   0,                   0,                   0,            0.008686,            0.008686,            0.008686
                  75,              1.7005,              2.7363,              2.5157,           0.0012221,            0.039133,           0.0017208,          0.00058136,                   0,                   0,                   0,            0.008668,            0.008668,            0.008668
                  76,              1.6675,              2.6809,              2.4901,           0.0014514,            0.050646,           0.0027275,          0.00070417,                   0,                   0,                   0,             0.00865,             0.00865,             0.00865
                  77,              1.5553,              2.4169,              2.3777,             0.56875,           0.0063433,           0.0049569,          0.00098502,                   0,                   0,                   0,            0.008632,            0.008632,            0.008632
                  78,              1.5362,              2.3404,               2.344,             0.10364,            0.020343,           0.0045103,          0.00081414,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  79,              1.5476,              2.2955,              2.3297,           0.0036138,            0.057696,            0.012625,           0.0033815,                   0,                   0,                   0,            0.008596,            0.008596,            0.008596
                  80,              1.4555,              2.1157,              2.2569,           0.0031516,            0.045385,           0.0065326,           0.0015821,                   0,                   0,                   0,            0.008578,            0.008578,            0.008578
                  81,              1.4399,              2.1193,              2.2313,           0.0023783,            0.047807,           0.0042375,           0.0009614,                   0,                   0,                   0,             0.00856,             0.00856,             0.00856
                  82,              1.4318,              2.1379,               2.208,           0.0025574,            0.047976,           0.0044541,           0.0012875,                   0,                   0,                   0,            0.008542,            0.008542,            0.008542
